Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2015-10-27,430285.0,96489.0,218493.0,72793.0,1482.0,12276.0,69220.0,49708.0,38778.0,50063.0,23420.0,57448.0,397067.0,401605.0,33218.0,28680.0
2015-10-20,423552.0,101243.0,224489.0,73012.0,1344.0,11210.0,72902.0,50002.0,36994.0,45506.0,22021.0,48362.0,389229.0,394422.0,34323.0,29130.0
2015-10-13,419797.0,103310.0,224007.0,73524.0,943.0,11853.0,67321.0,51551.0,34801.0,46673.0,21523.0,46245.0,383727.0,390923.0,36070.0,28874.0
2015-10-06,407003.0,97568.0,211312.0,74368.0,904.0,8664.0,67192.0,56277.0,33070.0,47790.0,24105.0,43806.0,372458.0,378138.0,34545.0,28865.0
2015-09-29,406683.0,101502.0,194444.0,73038.0,960.0,6698.0,63832.0,69057.0,28780.0,47572.0,24807.0,51867.0,373289.0,376613.0,33394.0,30070.0
2015-09-22,424914.0,113016.0,188669.0,70066.0,310.0,8175.0,68590.0,87409.0,28490.0,50106.0,25240.0,53097.0,391540.0,391390.0,33374.0,33524.0
2015-09-15,416427.0,108890.0,186217.0,70838.0,410.0,7123.0,68625.0,86020.0,27634.0,49297.0,24613.0,52399.0,384806.0,384416.0,31621.0,32011.0
2015-09-08,410396.0,103414.0,187235.0,71281.0,980.0,6878.0,68809.0,79245.0,28966.0,46695.0,23690.0,51460.0,377503.0,378454.0,32893.0,31942.0
2015-09-01,397746.0,102012.0,179668.0,70719.0,1138.0,7061.0,72399.0,78923.0,23720.0,41097.0,23468.0,51017.0,368025.0,364995.0,29721.0,32751.0
2015-08-25,407744.0,110570.0,193247.0,71812.0,1121.0,4879.0,66626.0,74817.0,26499.0,48716.0,24967.0,49674.0,378776.0,375204.0,28968.0,32540.0
2015-08-18,388244.0,101568.0,183609.0,71627.0,1417.0,3384.0,66064.0,76599.0,23304.0,54783.0,29530.0,39348.0,360078.0,357191.0,28166.0,31053.0
2015-08-11,379351.0,98562.0,185331.0,69048.0,1507.0,4155.0,61054.0,68197.0,22809.0,56425.0,24665.0,40173.0,352226.0,346837.0,27125.0,32514.0
2015-08-04,378627.0,98987.0,185804.0,70317.0,1199.0,5334.0,57988.0,69512.0,23094.0,55804.0,22415.0,38233.0,349757.0,345591.0,28870.0,33036.0
2015-07-28,376093.0,94466.0,196295.0,73382.0,885.0,3855.0,57512.0,58065.0,24644.0,53780.0,23008.0,37110.0,344749.0,343862.0,31344.0,32231.0
2015-07-21,375448.0,80633.0,211513.0,72651.0,775.0,4322.0,62813.0,43763.0,25861.0,53900.0,21464.0,42222.0,342402.0,349920.0,33046.0,25528.0
2015-07-14,376063.0,80194.0,220764.0,73163.0,920.0,4107.0,66221.0,37547.0,26468.0,51695.0,16251.0,42404.0,344252.0,348461.0,31811.0,27602.0
2015-07-07,365362.0,76845.0,209469.0,76793.0,590.0,3718.0,65104.0,45455.0,25978.0,54073.0,20141.0,31341.0,333852.0,336692.0,31510.0,28670.0
2015-06-30,380583.0,67684.0,225882.0,77752.0,649.0,3574.0,70005.0,39490.0,28507.0,58376.0,19724.0,38390.0,344288.0,356216.0,36295.0,24367.0
2015-06-23,400965.0,77346.0,226690.0,82765.0,540.0,3038.0,66316.0,46197.0,30376.0,56048.0,20170.0,46336.0,362225.0,373347.0,38740.0,27618.0
2015-06-16,416532.0,72667.0,237474.0,80660.0,1975.0,8558.0,81587.0,40637.0,29723.0,58155.0,26262.0,45854.0,377204.0,390483.0,39328.0,26049.0
2015-06-09,422569.0,63969.0,258724.0,76292.0,400.0,9669.0,90639.0,24985.0,29643.0,63118.0,23957.0,44294.0,377624.0,391672.0,44945.0,30897.0
2015-06-02,409134.0,64009.0,247482.0,79823.0,628.0,9810.0,86071.0,27323.0,30230.0,53317.0,23620.0,42206.0,365466.0,381299.0,43668.0,27835.0
2015-05-26,400850.0,66499.0,212610.0,78395.0,700.0,9548.0,76256.0,47684.0,33216.0,57553.0,23294.0,43552.0,365019.0,370604.0,35831.0,30246.0
2015-05-19,398661.0,61985.0,214723.0,73759.0,660.0,11538.0,73888.0,46541.0,35947.0,64912.0,20139.0,40969.0,362998.0,370517.0,35663.0,28144.0
2015-05-12,393516.0,64832.0,218493.0,70578.0,370.0,13610.0,81655.0,41207.0,30890.0,54154.0,26584.0,34958.0,350677.0,366112.0,42839.0,27404.0
2015-05-05,383449.0,66233.0,208476.0,65234.0,300.0,17325.0,82754.0,46096.0,27331.0,49979.0,24072.0,32253.0,341109.0,355853.0,42340.0,27596.0
