Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2014-12-30,359184.0,76742.0,199996.0,58755.0,1509.0,11041.0,78272.0,43393.0,20922.0,43109.0,18012.0,36110.0,324951.0,330983.0,34233.0,28201.0
2014-12-23,355202.0,80262.0,191899.0,60789.0,0.0,7072.0,70659.0,50810.0,23211.0,43632.0,14946.0,36573.0,322198.0,324511.0,33004.0,30691.0
2014-12-16,366139.0,86474.0,194392.0,63141.0,290.0,5739.0,70743.0,53122.0,26484.0,43370.0,16585.0,37404.0,333355.0,334016.0,32784.0,32123.0
2014-12-09,372998.0,85927.0,192126.0,63035.0,433.0,6909.0,70877.0,59385.0,25217.0,50813.0,17340.0,39203.0,341981.0,340613.0,31017.0,32385.0
2014-12-02,379218.0,91281.0,195795.0,63682.0,340.0,8760.0,71796.0,60677.0,26709.0,51749.0,19527.0,32684.0,346661.0,344492.0,32557.0,34726.0
2014-11-25,378056.0,79544.0,211119.0,63899.0,0.0,9907.0,74539.0,54159.0,24554.0,55650.0,14511.0,32022.0,340115.0,346272.0,37941.0,31784.0
2014-11-18,400880.0,85734.0,213864.0,63498.0,230.0,11458.0,69404.0,62276.0,28716.0,68020.0,13142.0,38820.0,365650.0,368506.0,35230.0,32374.0
2014-11-11,399380.0,86369.0,218236.0,64473.0,450.0,14591.0,68746.0,59368.0,24160.0,68738.0,14003.0,35744.0,362821.0,366552.0,36559.0,32828.0
2014-11-04,409500.0,78027.0,221551.0,64651.0,566.0,19492.0,72530.0,49802.0,27863.0,68784.0,15235.0,41246.0,372593.0,375755.0,36907.0,33745.0
2014-10-28,396760.0,72351.0,199963.0,66144.0,653.0,16431.0,70431.0,58989.0,27555.0,63803.0,15319.0,45743.0,362458.0,364653.0,34302.0,32107.0
2014-10-21,396094.0,73478.0,183412.0,66314.0,543.0,15661.0,70119.0,68310.0,24864.0,63143.0,17691.0,48254.0,361833.0,358735.0,34261.0,37359.0
2014-10-14,392966.0,74019.0,190609.0,66735.0,583.0,14982.0,67733.0,64938.0,27872.0,62901.0,18314.0,44245.0,358487.0,361543.0,34479.0,31423.0
2014-10-07,379661.0,68835.0,187481.0,65566.0,934.0,15297.0,66497.0,63748.0,29191.0,61388.0,18379.0,32953.0,339727.0,347983.0,39934.0,31678.0
2014-09-30,377877.0,69931.0,176939.0,65351.0,1280.0,13326.0,67220.0,74182.0,26868.0,61780.0,17440.0,36354.0,340830.0,346389.0,37047.0,31488.0
2014-09-23,385420.0,77633.0,182213.0,67196.0,768.0,9309.0,69162.0,75205.0,26560.0,62235.0,20919.0,36075.0,348170.0,351049.0,37250.0,34371.0
2014-09-16,369206.0,78616.0,170376.0,67116.0,750.0,6127.0,67942.0,81759.0,19409.0,56063.0,20248.0,37191.0,332464.0,335860.0,36742.0,33346.0
2014-09-09,371746.0,86429.0,171656.0,67315.0,1089.0,5902.0,65774.0,86739.0,18347.0,58863.0,21589.0,32059.0,334689.0,337381.0,37057.0,34365.0
2014-09-02,359726.0,83167.0,167856.0,67126.0,1329.0,4653.0,66345.0,84083.0,15675.0,57157.0,21639.0,28869.0,322992.0,324104.0,36734.0,35622.0
2014-08-26,358599.0,83179.0,167023.0,68608.0,1259.0,3878.0,64031.0,79983.0,16402.0,55426.0,20633.0,30809.0,322333.0,319987.0,36266.0,38612.0
2014-08-19,359437.0,79606.0,163072.0,72337.0,1076.0,2099.0,66762.0,81458.0,17807.0,50768.0,22899.0,35166.0,324545.0,323577.0,34892.0,35860.0
2014-08-12,340475.0,72442.0,157625.0,74037.0,688.0,1932.0,66517.0,81048.0,16096.0,50259.0,20830.0,24858.0,306141.0,303077.0,34334.0,37398.0
