Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2014-12-30,606663.0,204841.0,244539.0,93672.0,7504.0,4925.0,118492.0,65952.0,45360.0,66282.0,88597.0,30606.0,564178.0,487483.0,42485.0,119180.0
2014-12-23,660066.0,223934.0,261891.0,96035.0,7554.0,6786.0,119041.0,60808.0,51742.0,67487.0,105757.0,47284.0,612309.0,541822.0,47757.0,118244.0
2014-12-16,695296.0,236399.0,268132.0,91132.0,8197.0,10891.0,117830.0,62189.0,62293.0,69416.0,102781.0,58753.0,646714.0,573236.0,48582.0,122060.0
2014-12-09,693400.0,243459.0,275639.0,92981.0,8687.0,9139.0,114397.0,55193.0,75598.0,67421.0,104123.0,42039.0,645034.0,570418.0,48366.0,122982.0
2014-12-02,675751.0,253050.0,258819.0,93406.0,7863.0,5717.0,106398.0,73331.0,65404.0,67385.0,99022.0,38611.0,629971.0,548767.0,45780.0,126984.0
2014-11-25,672574.0,250353.0,277624.0,96197.0,8792.0,4935.0,116504.0,66236.0,54592.0,69628.0,100654.0,32207.0,624416.0,545040.0,48158.0,127534.0
2014-11-18,669902.0,246322.0,276771.0,96440.0,7009.0,6200.0,111745.0,65955.0,52424.0,74847.0,100938.0,35294.0,623272.0,544591.0,46630.0,125311.0
2014-11-11,660607.0,231304.0,263226.0,95497.0,8289.0,6583.0,118986.0,64081.0,55343.0,80077.0,109867.0,26658.0,614448.0,534047.0,46159.0,126560.0
2014-11-04,655299.0,237371.0,250338.0,91786.0,6109.0,5561.0,112103.0,74276.0,57400.0,84427.0,108962.0,22560.0,611208.0,525206.0,44091.0,130093.0
2014-10-28,693740.0,248249.0,240962.0,89233.0,9345.0,7697.0,112697.0,86333.0,63330.0,84513.0,111614.0,37611.0,643330.0,556892.0,50410.0,136848.0
2014-10-21,796971.0,277182.0,249456.0,76336.0,18086.0,16050.0,133612.0,97701.0,69968.0,104186.0,133450.0,66571.0,743905.0,651282.0,53066.0,145689.0
2014-10-14,811524.0,289101.0,247730.0,78832.0,19328.0,17910.0,135331.0,101624.0,77325.0,91777.0,132572.0,70652.0,760928.0,667141.0,50596.0,144383.0
2014-10-07,782571.0,289671.0,236714.0,79343.0,20195.0,13409.0,126705.0,101954.0,77996.0,88604.0,129526.0,55158.0,730886.0,634952.0,51685.0,147619.0
2014-09-30,774659.0,297029.0,226688.0,76828.0,21461.0,16202.0,128042.0,88101.0,73428.0,87274.0,151581.0,47265.0,726068.0,624726.0,48591.0,149933.0
2014-09-23,751751.0,298748.0,230117.0,77663.0,15890.0,15889.0,118709.0,91016.0,70621.0,83898.0,142711.0,38229.0,703757.0,604473.0,47994.0,147278.0
2014-09-16,727980.0,286054.0,228633.0,81766.0,14721.0,15378.0,117885.0,95232.0,65347.0,78595.0,132890.0,34820.0,679845.0,587021.0,48135.0,140959.0
2014-09-09,695012.0,263727.0,227117.0,84241.0,14721.0,12748.0,108622.0,98577.0,62678.0,81027.0,113752.0,35365.0,648408.0,564958.0,46604.0,130054.0
2014-09-02,673214.0,248979.0,224383.0,84480.0,12536.0,11882.0,117485.0,94981.0,57376.0,76495.0,112719.0,28048.0,624745.0,541925.0,48469.0,131289.0
2014-08-26,648601.0,241726.0,223567.0,83371.0,10227.0,12128.0,118131.0,92098.0,50066.0,72303.0,108048.0,24100.0,601825.0,520234.0,46776.0,128367.0
2014-08-19,645199.0,234168.0,232539.0,83055.0,7617.0,12394.0,121615.0,87611.0,51211.0,71306.0,104560.0,28507.0,602256.0,524439.0,42943.0,120760.0
2014-08-12,641181.0,229607.0,228214.0,80450.0,9632.0,13495.0,124172.0,85110.0,47692.0,70648.0,106875.0,31693.0,597757.0,522711.0,43424.0,118470.0
2014-08-05,627633.0,223960.0,216846.0,80394.0,9142.0,14211.0,124531.0,87581.0,45688.0,62847.0,106201.0,32663.0,584294.0,512332.0,43339.0,115301.0
2014-07-29,610514.0,219089.0,215411.0,82731.0,8928.0,13143.0,122912.0,85430.0,39725.0,61758.0,102995.0,29591.0,568949.0,495223.0,41565.0,115291.0
2014-07-22,648970.0,230117.0,221540.0,83415.0,12065.0,12919.0,123900.0,92830.0,42476.0,64877.0,101599.0,47676.0,605380.0,531105.0,43590.0,117865.0
2014-07-15,626175.0,207287.0,207093.0,84914.0,11380.0,14052.0,126538.0,86225.0,41123.0,61150.0,101581.0,46760.0,581824.0,508214.0,44351.0,117961.0
2014-07-08,606261.0,185769.0,202146.0,88096.0,8625.0,12845.0,129652.0,81828.0,39784.0,60785.0,104131.0,43740.0,560671.0,493099.0,45590.0,113162.0
2014-07-01,596424.0,176005.0,214912.0,92327.0,7258.0,13086.0,137185.0,77731.0,35847.0,58188.0,100521.0,39839.0,552477.0,489194.0,43947.0,107230.0
2014-06-24,608364.0,174162.0,237510.0,95566.0,7413.0,11862.0,136585.0,72013.0,42179.0,59975.0,87143.0,41057.0,561386.0,499177.0,46978.0,109187.0
2014-06-17,616888.0,170608.0,241291.0,95360.0,8259.0,17683.0,139124.0,66591.0,36341.0,58981.0,83076.0,50091.0,568188.0,503332.0,48700.0,113556.0
2014-06-10,632121.0,172661.0,283185.0,95769.0,8414.0,16238.0,152177.0,51991.0,40249.0,60229.0,79333.0,42164.0,579487.0,521574.0,52634.0,110547.0
2014-06-03,628560.0,181463.0,310060.0,89140.0,5394.0,16688.0,163677.0,38796.0,35579.0,57493.0,80085.0,33941.0,577981.0,520543.0,50579.0,108017.0
2014-05-27,618301.0,166169.0,323644.0,91614.0,5836.0,15411.0,171254.0,27223.0,34223.0,57285.0,77258.0,29620.0,565576.0,513215.0,52725.0,105086.0
2014-05-20,607367.0,160048.0,314612.0,92530.0,5383.0,14080.0,170901.0,34214.0,34607.0,52223.0,72012.0,31772.0,556161.0,506680.0,51206.0,100687.0
2014-05-13,590465.0,146048.0,310743.0,92914.0,4896.0,14198.0,175159.0,27923.0,29089.0,52384.0,72840.0,31560.0,541352.0,491249.0,49113.0,99216.0
2014-05-06,582430.0,134869.0,310748.0,97900.0,4437.0,13459.0,178313.0,26365.0,29883.0,46679.0,68207.0,30499.0,531602.0,483598.0,50828.0,98832.0
2014-04-29,611142.0,135544.0,341768.0,98410.0,4515.0,13023.0,199043.0,25270.0,31602.0,45808.0,60722.0,34325.0,557755.0,511225.0,53387.0,99917.0
2014-04-22,662154.0,159020.0,349725.0,97794.0,4404.0,19069.0,197153.0,29740.0,41629.0,48555.0,76205.0,42919.0,606139.0,563691.0,56015.0,98463.0
2014-04-15,669796.0,144319.0,362786.0,97845.0,5408.0,19539.0,212215.0,28614.0,37932.0,55292.0,72392.0,45023.0,612165.0,571694.0,57631.0,98102.0
2014-04-08,642179.0,141221.0,353309.0,95471.0,7814.0,15786.0,207032.0,32125.0,32040.0,53835.0,65094.0,39401.0,584786.0,545569.0,57393.0,96610.0
2014-04-01,638253.0,138887.0,361550.0,94073.0,11255.0,14541.0,213778.0,27042.0,28634.0,54936.0,60153.0,40885.0,585734.0,544060.0,52519.0,94193.0
2014-03-25,624304.0,127506.0,345405.0,93672.0,11157.0,13561.0,208565.0,23442.0,37916.0,49208.0,57968.0,39070.0,569498.0,528519.0,54806.0,95785.0
2014-03-18,656246.0,140904.0,368659.0,91975.0,10877.0,15315.0,222369.0,30651.0,35803.0,51547.0,55353.0,47642.0,605555.0,564300.0,50691.0,91946.0
2014-03-11,670093.0,146330.0,383567.0,93078.0,10367.0,12639.0,223542.0,31692.0,39736.0,59067.0,55360.0,45086.0,619478.0,578447.0,50615.0,91646.0
2014-03-04,668094.0,135218.0,385578.0,94994.0,9476.0,12284.0,228147.0,29157.0,39063.0,63452.0,52078.0,44877.0,618035.0,572513.0,50059.0,95581.0
2014-02-25,704089.0,150088.0,396842.0,92055.0,13510.0,11509.0,217688.0,23650.0,50620.0,65102.0,47324.0,55753.0,642815.0,599208.0,61274.0,104881.0
2014-02-18,691005.0,142126.0,373058.0,88244.0,16264.0,16153.0,214467.0,22569.0,52067.0,63260.0,55827.0,53373.0,629690.0,589311.0,61315.0,101694.0
2014-02-11,683209.0,141883.0,362310.0,87297.0,14818.0,16065.0,201586.0,22624.0,65800.0,61654.0,50853.0,51651.0,625936.0,584121.0,57273.0,99088.0
2014-02-04,624488.0,134031.0,336031.0,91178.0,12541.0,9098.0,176466.0,23009.0,60744.0,59475.0,47573.0,41580.0,572572.0,530576.0,51916.0,93912.0
2014-01-28,591635.0,120563.0,313550.0,92975.0,12986.0,7921.0,162118.0,29013.0,55961.0,63939.0,44094.0,36932.0,540409.0,500457.0,51226.0,91178.0
2014-01-21,603948.0,119739.0,322254.0,95062.0,14874.0,7910.0,174615.0,29451.0,58109.0,60902.0,48056.0,36024.0,552361.0,516678.0,51587.0,87270.0
2014-01-14,594392.0,116799.0,313985.0,92733.0,15222.0,7709.0,168711.0,29076.0,66556.0,58148.0,44083.0,33461.0,544117.0,510092.0,50275.0,84300.0
