Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-12-29,0.55457,0.55457,0.55457,0.55457,0.00213,0.55457,0.0,8217.0
2014-12-26,0.5567,0.5567,0.5567,0.5567,,0.5567,0.0,8217.0
2014-12-24,0.5567,0.5567,0.5567,0.5567,0.00824,0.5567,0.0,8217.0
2014-12-23,0.56494,0.56494,0.56494,0.56494,0.00241,0.56494,0.0,8217.0
2014-12-22,0.56253,0.56253,0.56253,0.56253,0.00307,0.56253,0.0,8217.0
2014-12-19,0.5656,0.5656,0.5656,0.5656,0.00955,0.5656,0.0,8217.0
2014-12-18,0.55605,0.55605,0.55605,0.55605,0.00585,0.55605,0.0,8217.0
2014-12-17,0.5619,0.5619,0.5619,0.5619,0.00312,0.5619,0.0,8217.0
2014-12-16,0.55878,0.55878,0.55878,0.55878,0.00426,0.55878,0.0,8217.0
2014-12-15,0.56304,0.56304,0.56304,0.56304,0.00318,0.56304,0.0,8217.0
2014-12-12,0.55986,0.55986,0.55986,0.55986,0.00668,0.55986,0.0,8217.0
2014-12-11,0.5675,0.5675,0.5675,0.55318,0.00875,0.55318,4.0,8221.0
2014-12-10,0.54443,0.54443,0.54443,0.54443,0.00242,0.54443,0.0,8221.0
2014-12-09,0.54685,0.54685,0.54685,0.54685,0.01665,0.54685,0.0,8221.0
2014-12-08,0.505,0.505,0.505,0.5302,0.05284,0.5302,1.0,8221.0
2014-12-05,0.58304,0.58304,0.58304,0.58304,0.03398,0.58304,0.0,8221.0
2014-12-04,0.61702,0.61702,0.61702,0.61702,0.01281,0.61702,0.0,8221.0
2014-12-03,0.62983,0.62983,0.62983,0.62983,0.01347,0.62983,0.0,8221.0
2014-12-02,0.625,0.625,0.625,0.6433,0.0342,0.6433,251.0,8346.0
2014-12-01,0.8042,0.8042,0.8042,0.8042,,0.8042,0.0,4752.0
2014-11-28,0.8042,0.8042,0.8042,0.8042,0.00031,0.8042,0.0,4752.0
2014-11-26,0.80451,0.80451,0.80451,0.80451,7.000000000000001e-05,0.80451,0.0,4752.0
2014-11-25,0.80458,0.80458,0.80458,0.80458,0.00132,0.80458,0.0,4752.0
2014-11-24,0.8059,0.8059,0.8059,0.8059,0.00014,0.8059,0.0,4752.0
2014-11-21,0.80576,0.80576,0.80576,0.80576,0.00364,0.80576,0.0,4752.0
2014-11-20,0.80212,0.80212,0.80212,0.80212,0.00726,0.80212,0.0,4752.0
2014-11-19,0.79486,0.79486,0.79486,0.79486,0.01472,0.79486,0.0,4752.0
2014-11-18,0.80958,0.80958,0.80958,0.80958,0.01049,0.80958,0.0,4752.0
2014-11-17,0.82007,0.82007,0.82007,0.82007,0.00681,0.82007,0.0,4752.0
2014-11-14,0.82688,0.82688,0.82688,0.82688,0.00296,0.82688,0.0,4752.0
2014-11-13,0.82392,0.82392,0.82392,0.82392,0.02733,0.82392,0.0,4752.0
2014-11-12,0.85125,0.85125,0.85125,0.85125,0.0051,0.85125,0.0,4752.0
2014-11-11,0.84615,0.84615,0.84615,0.84615,0.00181,0.84615,0.0,4752.0
2014-11-10,0.84434,0.84434,0.84434,0.84434,0.00156,0.84434,0.0,4752.0
2014-11-07,0.84278,0.84278,0.84278,0.84278,0.00365,0.84278,0.0,4752.0
2014-11-06,0.84643,0.84643,0.84643,0.84643,0.02215,0.84643,2.0,4752.0
2014-11-05,0.86858,0.86858,0.86858,0.86858,0.00531,0.86858,0.0,4752.0
2014-11-04,0.87389,0.87389,0.87389,0.87389,0.01611,0.87389,0.0,4752.0
2014-11-03,0.93997,0.93997,0.93997,0.93997,0.00014,0.93997,0.0,5108.0
2014-10-31,0.94011,0.94011,0.94011,0.94011,0.00024,0.94011,0.0,5108.0
2014-10-30,0.94035,0.94035,0.94035,0.94035,0.0003,0.94035,0.0,5108.0
2014-10-29,0.94065,0.94065,0.94065,0.94065,0.00318,0.94065,0.0,5108.0
2014-10-28,0.93747,0.93747,0.93747,0.93747,0.00127,0.93747,0.0,5108.0
2014-10-27,0.9362,0.9362,0.9362,0.9362,0.00215,0.9362,0.0,5108.0
2014-10-24,0.93405,0.93405,0.93405,0.93405,8.0e-05,0.93405,0.0,5108.0
2014-10-23,0.93413,0.93413,0.93413,0.93413,0.00576,0.93413,0.0,5108.0
2014-10-22,0.92837,0.92837,0.92837,0.92837,0.00715,0.92837,0.0,5108.0
2014-10-21,0.93552,0.93552,0.93552,0.93552,0.00937,0.93552,0.0,5108.0
2014-10-20,0.94489,0.94489,0.94489,0.94489,0.00854,0.94489,0.0,5108.0
2014-10-17,0.95343,0.95343,0.95343,0.95343,0.00258,0.95343,0.0,5108.0
2014-10-16,0.95601,0.95601,0.95601,0.95601,0.00223,0.95601,0.0,5108.0
2014-10-15,0.95378,0.95378,0.95378,0.95378,0.00272,0.95378,0.0,5108.0
2014-10-14,0.95106,0.95106,0.95106,0.95106,0.02793,0.95106,0.0,5108.0
2014-10-13,0.97899,0.97899,0.97899,0.97899,0.00059,0.97899,0.0,5108.0
2014-10-10,0.9784,0.9784,0.9784,0.9784,0.02199,0.9784,0.0,5098.0
2014-10-09,1.00039,1.00039,1.00039,1.00039,0.03608,1.00039,10.0,5108.0
2014-10-08,1.03647,1.03647,1.03647,1.03647,0.02038,1.03647,0.0,5108.0
2014-10-07,1.05685,1.05685,1.05685,1.05685,0.00407,1.05685,0.0,5108.0
2014-10-06,1.06092,1.06092,1.06092,1.06092,0.00101,1.06092,0.0,5108.0
2014-10-03,1.06193,1.06193,1.06193,1.06193,0.00397,1.06193,5.0,5108.0
2014-10-02,1.0659,1.0659,1.0659,1.0659,0.01215,1.0659,0.0,5108.0
2014-10-01,1.06318,1.06318,1.06318,1.06318,0.0003,1.06318,0.0,5156.0
2014-09-30,1.06348,1.06348,1.06348,1.06348,6.000000000000001e-05,1.06348,0.0,5156.0
2014-09-29,1.06342,1.06342,1.06342,1.06342,0.0005,1.06342,0.0,5156.0
2014-09-26,1.06292,1.06292,1.06292,1.06292,3.0000000000000004e-05,1.06292,0.0,5156.0
2014-09-25,1.06295,1.06295,1.06295,1.06295,0.00404,1.06295,0.0,5156.0
2014-09-24,1.06699,1.06699,1.06699,1.06699,0.00209,1.06699,0.0,5156.0
2014-09-23,1.06908,1.06908,1.06908,1.06908,0.00027,1.06908,0.0,5156.0
2014-09-22,1.06935,1.06935,1.06935,1.06935,0.00318,1.06935,0.0,5156.0
2014-09-19,1.07253,1.07253,1.07253,1.07253,0.00161,1.07253,0.0,5156.0
2014-09-18,1.07414,1.07414,1.07414,1.07414,0.00149,1.07414,0.0,5156.0
2014-09-17,1.07563,1.07563,1.07563,1.07563,0.01017,1.07563,0.0,5156.0
2014-09-16,1.0858,1.0858,1.0858,1.0858,0.00422,1.0858,0.0,5156.0
2014-09-15,1.08158,1.08158,1.08158,1.08158,0.01003,1.08158,0.0,5156.0
