Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2014-12-31,1035.0,1041.0,1017.0,1018.0,18.0,1019.5,19042.0,23307.0
2014-12-30,1041.0,1049.5,1035.0,1035.0,4.0,1037.5,50429.0,40203.0
2014-12-29,1045.5,1061.5,1039.0,1041.0,5.5,1041.5,57261.0,60124.0
2014-12-26,1028.0,1048.0,1028.0,1048.0,18.5,1047.0,33285.0,84171.0
2014-12-24,1036.0,1041.0,1025.0,1030.0,9.5,1028.5,42809.0,98067.0
2014-12-23,1036.0,1048.0,1033.5,1036.0,0.5,1038.0,67733.0,107193.0
2014-12-22,1029.0,1042.5,1025.5,1037.0,7.5,1038.5,70207.0,120253.0
2014-12-19,1034.5,1035.5,1022.0,1032.0,4.0,1030.0,83289.0,132576.0
2014-12-18,1027.0,1040.0,1024.0,1034.0,8.0,1035.0,95001.0,145180.0
2014-12-17,1022.0,1034.0,1015.0,1026.0,3.0,1027.0,104787.0,164649.0
2014-12-16,1034.5,1039.0,1021.0,1022.0,16.0,1023.0,145201.0,185488.0
2014-12-15,1050.0,1055.0,1035.0,1038.0,7.5,1039.0,119721.0,195389.0
2014-12-12,1039.0,1054.0,1031.0,1048.0,5.0,1047.5,115212.0,207187.0
2014-12-11,1032.5,1048.5,1025.5,1041.0,10.5,1042.5,125659.0,213252.0
2014-12-10,1047.5,1060.5,1027.5,1033.0,17.5,1032.0,165859.0,231306.0
2014-12-09,1043.0,1050.0,1038.0,1047.0,5.0,1049.5,103529.0,239699.0
2014-12-08,1035.0,1050.0,1030.0,1043.0,7.5,1043.5,142255.0,251710.0
2014-12-05,1009.5,1040.5,1003.0,1037.0,25.0,1036.0,147683.0,262747.0
2014-12-04,998.0,1016.0,991.0,1011.0,12.5,1010.0,109276.0,265313.0
2014-12-03,995.0,999.0,983.5,999.0,2.0,998.5,109187.0,267942.0
2014-12-02,1017.0,1022.0,995.0,996.0,21.5,995.5,115264.0,272783.0
2014-12-01,1010.5,1022.0,1006.0,1018.0,1.0,1017.0,101800.0,277035.0
2014-11-28,1041.0,1051.0,1013.0,1015.0,31.0,1016.0,82839.0,279286.0
2014-11-26,1049.5,1054.5,1038.0,1047.5,4.0,1047.0,71106.0,283969.0
2014-11-25,1033.5,1054.0,1033.0,1049.0,17.5,1051.0,97927.0,281725.0
2014-11-24,1036.5,1038.5,1026.5,1034.0,5.5,1033.5,81233.0,288662.0
2014-11-21,1020.5,1040.0,1013.5,1036.5,18.5,1039.0,128601.0,298982.0
2014-11-20,1005.75,1022.25,1005.0,1020.5,15.75,1020.5,81960.0,297934.0
2014-11-19,1024.0,1025.0,1003.75,1005.0,18.5,1004.75,85928.0,299919.0
2014-11-18,1036.75,1042.0,1021.0,1024.0,13.0,1023.25,82669.0,302905.0
2014-11-17,1023.0,1038.5,1014.5,1035.0,13.75,1036.25,117363.0,303042.0
2014-11-14,1053.0,1053.5,1020.0,1023.0,31.0,1022.5,112700.0,299761.0
2014-11-13,1048.5,1068.25,1044.75,1047.0,2.25,1050.5,1896.0,1721.0
2014-11-12,1067.25,1086.75,1044.5,1049.5,18.25,1048.25,3144.0,4095.0
2014-11-11,1025.75,1075.0,1023.25,1066.5,39.0,1066.5,3897.0,5887.0
2014-11-10,1040.25,1060.5,1024.25,1026.0,12.75,1027.5,2983.0,7784.0
2014-11-07,1031.0,1042.25,1022.5,1036.0,9.25,1040.25,3096.0,9267.0
2014-11-06,1020.5,1044.0,1012.25,1029.0,10.5,1031.0,7401.0,12418.0
2014-11-05,1009.75,1021.0,996.0,1020.0,10.5,1020.5,6828.0,14168.0
2014-11-04,1027.25,1029.0,1005.0,1014.25,18.75,1010.0,9609.0,17885.0
2014-11-03,1043.0,1045.5,1025.0,1029.0,17.75,1028.75,14578.0,23471.0
2014-10-31,1023.0,1052.25,1012.25,1047.0,22.25,1046.5,30601.0,32038.0
2014-10-30,1042.5,1053.75,1023.5,1025.5,18.75,1024.25,83807.0,49653.0
2014-10-29,1005.0,1045.0,1004.0,1041.0,35.0,1043.0,122482.0,72843.0
2014-10-28,1004.25,1034.5,1000.0,1007.0,2.0,1008.0,152018.0,104316.0
2014-10-27,973.5,1008.25,967.75,1003.0,28.5,1006.0,157344.0,139892.0
2014-10-24,991.5,1002.0,976.5,979.5,15.75,977.5,179565.0,231196.0
2014-10-23,960.75,994.25,956.0,992.5,30.5,993.25,179078.0,243862.0
2014-10-22,961.25,982.5,960.0,960.0,1.5,962.75,163097.0,259786.0
2014-10-21,944.0,966.75,942.75,964.0,20.0,964.25,166892.0,271954.0
2014-10-20,950.0,950.75,936.0,945.5,7.5,944.25,125496.0,285766.0
2014-10-17,966.0,972.75,951.25,952.25,14.75,951.75,115426.0,292553.0
2014-10-16,949.0,967.0,949.5,966.0,14.0,966.0,119183.0,296791.0
2014-10-15,962.5,978.5,950.75,953.5,12.25,952.5,184987.0,310515.0
2014-10-14,943.75,970.5,943.25,964.5,19.5,964.75,223685.0,327915.0
2014-10-13,920.0,951.0,915.75,945.0,22.75,945.25,179478.0,335321.0
2014-10-10,939.5,951.25,921.0,922.5,19.5,922.5,214966.0,337481.0
2014-10-09,934.0,945.0,932.5,941.0,7.0,942.0,127689.0,349543.0
2014-10-08,939.0,949.75,926.5,934.0,5.75,935.0,131723.0,363056.0
2014-10-07,941.0,955.0,933.25,940.0,1.5,940.75,186410.0,365361.0
2014-10-06,914.0,943.0,912.25,940.0,30.0,942.25,145426.0,375297.0
2014-10-03,924.0,927.75,910.5,912.0,12.25,912.25,103713.0,379768.0
2014-10-02,915.25,925.5,912.5,925.0,7.75,924.5,100611.0,382597.0
2014-10-01,911.0,919.75,904.0,917.5,3.5,916.75,108870.0,392187.0
2014-09-30,922.0,930.0,909.75,911.75,10.25,913.25,173369.0,401629.0
2014-09-29,907.25,924.5,905.5,921.25,13.25,923.5,115477.0,400686.0
2014-09-26,922.0,924.75,909.75,910.0,12.5,910.25,100914.0,405415.0
2014-09-25,936.0,941.75,922.25,924.0,14.0,922.75,117590.0,405423.0
2014-09-24,935.0,942.0,934.25,937.0,0.5,936.75,95854.0,407053.0
2014-09-23,936.0,944.5,931.0,937.0,2.0,936.25,83384.0,410991.0
2014-09-22,953.0,954.75,934.25,939.0,18.75,938.25,135376.0,412299.0
2014-09-19,971.25,972.0,956.0,958.0,14.5,957.0,93254.0,410536.0
2014-09-18,982.5,986.5,970.75,971.5,11.0,971.5,76740.0,412442.0
2014-09-17,980.0,988.0,977.5,983.0,1.75,982.5,71617.0,411419.0
2014-09-16,989.25,999.75,976.75,981.5,8.75,980.75,122397.0,413375.0
2014-09-15,976.75,994.5,974.25,988.5,4.25,989.5,99962.0,408946.0
2014-09-12,979.75,990.25,979.0,984.5,3.75,985.25,90011.0,414670.0
2014-09-11,1071.0,1071.0,1045.0,1061.5,9.5,1061.5,90.0,98.0
2014-09-10,1077.0,1086.75,1071.0,1071.0,5.5,1071.0,66.0,162.0
2014-09-09,1090.0,1094.5,1076.0,1076.5,14.25,1076.5,94.0,238.0
2014-09-08,1090.0,1095.0,1076.25,1090.75,5.25,1090.75,124.0,325.0
2014-09-05,1068.5,1088.75,1068.5,1085.5,21.25,1085.5,160.0,419.0
2014-09-04,1080.0,1082.0,1064.0,1064.5,16.0,1064.5,416.0,715.0
2014-09-03,1091.5,1092.5,1065.5,1073.0,16.0,1080.5,346.0,917.0
2014-09-02,1090.25,1108.0,1085.0,1045.0,7.75,1097.25,388.0,1113.0
2014-08-29,1070.25,1095.75,1070.25,1033.75,15.75,1089.5,747.0,1586.0
2014-08-28,1085.0,1123.0,1068.75,1073.75,12.0,1073.75,4112.0,2998.0
2014-08-27,1070.0,1107.75,1064.25,1090.0,10.25,1085.75,7386.0,4545.0
2014-08-26,1123.0,1123.0,1072.75,1088.0,50.25,1075.5,10925.0,7525.0
2014-08-25,1161.5,1189.25,1122.25,1125.0,40.25,1125.75,16204.0,10737.0
2014-08-22,1137.0,1170.5,1137.0,1169.5,29.75,1166.0,22131.0,19168.0
2014-08-21,1119.75,1140.0,1119.75,1136.25,16.5,1136.25,16231.0,20382.0
2014-08-20,1119.25,1133.0,1114.0,1119.5,0.5,1119.75,19364.0,24965.0
2014-08-19,1112.5,1122.5,1106.5,1109.0,4.75,1120.25,13876.0,27125.0
